
Profile Time: 00:30:01
Profile Date: 02/19/2018
Profile Location: jlnewhope Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
02/19/18 05:30:01 11.50   0.26   0.13   0.057  7.70    10.2  14.3  11.49
02/19/18 05:30:05 11.52   0.26   0.13   0.057  7.70    10.9  15.1  11.41
02/19/18 05:30:06 11.53   0.26   0.13   0.057  7.70    11.0  15.1  11.43
02/19/18 05:30:11 11.51   0.26   0.13   0.057  7.70    11.0  14.6  11.41
02/19/18 05:30:13 11.50   0.26   0.13   0.057  7.70    10.9  14.1  11.39
02/19/18 05:30:15 11.50   0.26   0.13   0.057  7.70    10.7  13.7  11.36
02/19/18 05:30:07 11.53   0.26   0.13   0.058  7.70    11.0  15.1  11.43
02/19/18 05:30:09 11.52   0.26   0.13   0.058  7.70    11.1  14.9  11.45
02/19/18 05:30:12 11.50   0.26   0.13   0.058  7.70    10.9  14.3  11.39
02/19/18 05:30:16 11.51   0.26   0.13   0.073  7.70    10.7  13.5  11.36
02/19/18 05:30:17 11.52   0.26   0.13   0.087  7.70    10.6  13.3  11.35
02/19/18 05:30:18 11.53   0.26   0.13   0.104  7.70    10.6  13.2  11.35
02/19/18 05:30:19 11.53   0.26   0.13   0.123  7.70    10.6  13.1  11.34
02/19/18 05:30:20 11.53   0.26   0.13   0.138  7.70    10.7  13.1  11.34
02/19/18 05:30:21 11.53   0.26   0.13   0.155  7.70    10.7  13.0  11.35
02/19/18 05:30:22 11.53   0.26   0.13   0.172  7.70    10.7  13.1  11.35
02/19/18 05:30:23 11.52   0.26   0.13   0.187  7.70    10.8  13.1  11.34
02/19/18 05:30:24 11.51   0.26   0.13   0.200  7.70    10.9  13.2  11.34
02/19/18 05:30:25 11.51   0.26   0.13   0.217  7.70    10.9  13.3  11.32
02/19/18 05:30:26 11.51   0.26   0.13   0.237  7.70    11.0  13.4  11.34
02/19/18 05:30:27 11.51   0.26   0.13   0.251  7.70    11.0  13.5  11.32
02/19/18 05:30:28 11.51   0.26   0.13   0.262  7.70    11.1  13.7  11.32
02/19/18 05:30:29 11.51   0.26   0.13   0.282  7.70    11.1  13.8  11.32
02/19/18 05:30:30 11.51   0.26   0.13   0.298  7.70    11.1  13.9  11.32
02/19/18 05:30:31 11.51   0.26   0.13   0.310  7.70    11.1  14.0  11.32
02/19/18 05:30:32 11.51   0.26   0.13   0.326  7.70    11.1  14.1  11.31
02/19/18 05:30:33 11.51   0.26   0.13   0.345  7.70    11.0  14.2  11.32
02/19/18 05:30:34 11.51   0.26   0.13   0.365  7.70    11.0  14.2  11.33
02/19/18 05:30:35 11.50   0.26   0.13   0.383  7.70    11.0  14.3  11.31
02/19/18 05:30:36 11.51   0.26   0.13   0.400  7.70    10.9  14.3  11.32
