
Profile Time: 00:00:00
Profile Date: 06/01/2017
Profile Location: jlhaw Serial no: : 0001B4A5, ID: : NotSet
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
06/01/17 11:02:13 26.14   0.10   0.05   2.292  8.93     9.8  12.1  10.99
06/01/17 11:02:14 26.09   0.10   0.05   2.310  8.92     9.9  11.7  10.95
06/01/17 11:02:15 26.06   0.10   0.05   2.328  8.92    10.0  11.3  10.89
06/01/17 11:02:16 26.04   0.10   0.05   2.347  8.91    10.0  10.9  10.83
06/01/17 11:02:17 26.03   0.10   0.05   2.368  8.90    10.1  10.5  10.76
06/01/17 11:02:18 25.98   0.10   0.05   2.393  8.89    10.2  10.1  10.71
06/01/17 11:02:19 25.94   0.10   0.05   2.406  8.89    10.3   9.7  10.66
06/01/17 11:02:20 25.90   0.10   0.05   2.424  8.88    10.4   9.4  10.61
06/01/17 11:02:21 25.85   0.10   0.05   2.444  8.87    10.4   9.0  10.54
06/01/17 11:02:22 25.81   0.11   0.05   2.464  8.87    10.5   8.7  10.47
06/01/17 11:02:23 25.78   0.11   0.05   2.485  8.86    10.6   8.4  10.40
06/01/17 11:02:24 25.75   0.11   0.05   2.503  8.85    10.6   8.2  10.34
06/01/17 11:02:25 25.70   0.11   0.05   2.522  8.85    10.7   7.9  10.29
06/01/17 11:02:26 25.66   0.11   0.05   2.540  8.84    10.7   7.7  10.23
06/01/17 11:02:27 25.67   0.11   0.05   2.558  8.83    10.8   7.6  10.17
06/01/17 11:02:28 25.71   0.11   0.05   2.581  8.83    10.8   7.4  10.09
06/01/17 11:02:29 25.75   0.11   0.05   2.605  8.82    10.9   7.3  10.02
06/01/17 11:02:30 25.77   0.11   0.05   2.617  8.82    10.9   7.1   9.94
06/01/17 11:02:31 25.77   0.11   0.05   2.641  8.81    11.0   7.0   9.88
06/01/17 11:02:32 25.76   0.11   0.05   2.659  8.81    11.1   6.8   9.80
