
Profile Time: 01:12:18
Profile Date: 12/01/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/01/18 01:15:17  9.37   0.08   0.04   3.116  7.56    24.4   6.4   9.56
12/01/18 01:15:18  9.37   0.08   0.04   3.137  7.57    24.4   6.4   9.56
12/01/18 01:15:19  9.36   0.08   0.04   3.156  7.57    24.4   6.4   9.56
12/01/18 01:15:20  9.36   0.08   0.04   3.173  7.56    24.4   6.4   9.56
12/01/18 01:15:21  9.35   0.08   0.04   3.196  7.56    24.4   6.5   9.56
12/01/18 01:15:22  9.35   0.08   0.04   3.215  7.56    24.4   6.6   9.57
12/01/18 01:15:23  9.34   0.08   0.04   3.233  7.57    24.4   6.7   9.57
12/01/18 01:15:24  9.34   0.08   0.04   3.255  7.57    24.4   6.9   9.57
12/01/18 01:15:25  9.34   0.08   0.04   3.273  7.57    24.4   7.0   9.57
12/01/18 01:15:26  9.34   0.08   0.04   3.294  7.57    24.4   7.1   9.57
12/01/18 01:15:27  9.34   0.08   0.04   3.310  7.57    24.4   7.2   9.58
12/01/18 01:15:28  9.34   0.08   0.04   3.327  7.57    24.5   7.2   9.58
12/01/18 01:15:29  9.34   0.08   0.04   3.349  7.57    24.5   7.2   9.58
12/01/18 01:15:30  9.33   0.08   0.04   3.370  7.57    24.6   7.2   9.58
12/01/18 01:15:31  9.33   0.08   0.04   3.388  7.57    24.7   7.1   9.58
12/01/18 01:15:32  9.33   0.08   0.04   3.407  7.57    24.8   7.0   9.59
12/01/18 01:15:33  9.32   0.08   0.04   3.426  7.56    24.8   6.8   9.59
12/01/18 01:15:34  9.32   0.08   0.04   3.447  7.57    24.9   6.7   9.59
12/01/18 01:15:35  9.32   0.08   0.04   3.465  7.57    25.0   6.6   9.60
12/01/18 01:15:36  9.31   0.08   0.04   3.487  7.56    25.1   6.5   9.60
12/01/18 01:15:37  9.31   0.08   0.04   3.508  7.57    25.2   6.5   9.61
12/01/18 01:15:38  9.30   0.08   0.04   3.527  7.57    25.2   6.5   9.61
12/01/18 01:15:39  9.30   0.08   0.04   3.545  7.57    25.3   6.6   9.61
12/01/18 01:15:40  9.30   0.08   0.04   3.565  7.57    25.3   6.8   9.61
12/01/18 01:15:41  9.29   0.08   0.04   3.584  7.56    25.3   6.9   9.62
12/01/18 01:15:42  9.29   0.08   0.04   3.604  7.56    25.3   7.1   9.61
12/01/18 01:15:43  9.29   0.08   0.04   3.623  7.56    25.3   7.4   9.62
12/01/18 01:15:44  9.29   0.08   0.04   3.640  7.57    25.2   7.6   9.62
12/01/18 01:15:45  9.29   0.08   0.04   3.660  7.57    25.2   7.8   9.62
12/01/18 01:15:46  9.29   0.08   0.04   3.678  7.56    25.1   7.9   9.62
12/01/18 01:15:47  9.28   0.08   0.04   3.696  7.56    25.1   8.0   9.62
12/01/18 01:15:48  9.28   0.08   0.04   3.721  7.56    25.0   8.1   9.62
12/01/18 01:15:49  9.27   0.08   0.04   3.738  7.56    25.0   8.0   9.63
12/01/18 01:15:50  9.26   0.08   0.04   3.755  7.56    25.0   7.9   9.63
12/01/18 01:15:51  9.26   0.08   0.04   3.776  7.56    25.0   7.7   9.63
12/01/18 01:15:52  9.26   0.08   0.04   3.793  7.56    25.0   7.5   9.63
12/01/18 01:15:53  9.25   0.08   0.04   3.813  7.57    25.0   7.1   9.63
12/01/18 01:15:54  9.25   0.08   0.04   3.834  7.56    25.1   6.8   9.64
12/01/18 01:15:55  9.24   0.08   0.04   3.853  7.56    25.1   6.4   9.64
12/01/18 01:15:56  9.24   0.09   0.04   3.871  7.56    25.2   5.9   9.63
12/01/18 01:15:57  9.24   0.09   0.04   3.893  7.56    25.2   5.5   9.64
12/01/18 01:15:58  9.24   0.09   0.04   3.913  7.56    25.3   5.2   9.64
12/01/18 01:15:59  9.23   0.09   0.04   3.929  7.56    25.3   4.9   9.64
12/01/18 01:16:00  9.22   0.09   0.04   3.952  7.56    25.4   4.6   9.64
12/01/18 01:16:01  9.22   0.09   0.04   3.970  7.56    25.4   4.4   9.64
12/01/18 01:16:02  9.21   0.09   0.04   3.988  7.56    25.4   4.3   9.65
