
Profile Time: 00:14:58
Profile Date: 12/06/2018
Profile Location: jlhaw Serial no: : 0001C33F, ID: : Lucky      
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
12/06/18 00:19:17 10.47   0.12   0.06   4.687  7.76    17.2   4.5   9.85
12/06/18 00:19:18 10.48   0.12   0.06   4.709  7.76    17.2   4.4   9.84
12/06/18 00:19:19 10.48   0.12   0.06   4.726  7.76    17.2   4.2   9.84
12/06/18 00:19:20 10.48   0.12   0.06   4.748  7.76    17.3   4.1   9.84
12/06/18 00:19:21 10.48   0.12   0.06   4.765  7.76    17.4   4.0   9.83
12/06/18 00:19:22 10.48   0.12   0.06   4.783  7.76    17.5   4.0   9.83
12/06/18 00:19:23 10.48   0.12   0.06   4.805  7.76    17.6   4.0   9.83
12/06/18 00:19:24 10.48   0.12   0.06   4.825  7.76    17.7   4.1   9.83
12/06/18 00:19:25 10.48   0.12   0.06   4.845  7.76    17.8   4.2   9.83
12/06/18 00:19:26 10.47   0.12   0.06   4.863  7.76    17.9   4.4   9.83
12/06/18 00:19:27 10.47   0.12   0.06   4.883  7.75    17.9   4.6   9.84
12/06/18 00:19:28 10.46   0.12   0.06   4.902  7.75    18.0   4.8   9.85
12/06/18 00:19:29 10.45   0.12   0.06   4.918  7.75    18.0   5.0   9.87
12/06/18 00:19:30 10.44   0.12   0.06   4.940  7.76    18.0   5.1   9.85
12/06/18 00:19:31 10.44   0.12   0.06   4.960  7.76    18.0   5.2   9.85
12/06/18 00:19:32 10.44   0.12   0.06   4.977  7.76    18.0   5.3   9.84
12/06/18 00:19:33 10.45   0.12   0.06   4.997  7.76    17.9   5.3   9.83
12/06/18 00:19:34 10.46   0.12   0.06   5.016  7.76    17.8   5.2   9.83
12/06/18 00:19:35 10.47   0.12   0.06   5.034  7.75    17.6   5.2   9.83
12/06/18 00:19:36 10.48   0.12   0.06   5.054  7.76    17.5   5.0   9.82
12/06/18 00:19:37 10.48   0.12   0.06   5.075  7.76    17.3   4.9   9.83
12/06/18 00:19:38 10.48   0.12   0.06   5.094  7.76    17.2   4.7   9.83
12/06/18 00:19:39 10.48   0.12   0.06   5.117  7.76    17.1   4.6   9.82
12/06/18 00:19:40 10.48   0.12   0.06   5.135  7.75    17.0   4.5   9.82
12/06/18 00:19:41 10.47   0.12   0.06   5.154  7.76    16.9   4.4   9.82
12/06/18 00:19:42 10.46   0.12   0.06   5.173  7.76    16.8   4.3   9.82
12/06/18 00:19:43 10.45   0.12   0.06   5.194  7.75    16.8   4.3   9.82
12/06/18 00:19:44 10.46   0.12   0.06   5.211  7.75    16.8   4.4   9.82
