
Profile Time: 03:07:27
Profile Date: 03/30/2019
Profile Location: jlhaw Serial no: : 0001A093, ID: : GreyTape310
Sonde data Status: Unfiltered, VisualCheck
Data Status: , PostCal
03/30/19 06:31:24 15.00   0.12   0.06   0.778  8.59    15.9  13.7  11.35
03/30/19 06:31:25 15.00   0.12   0.06   0.802  8.60    16.0  13.8  11.35
03/30/19 06:31:26 15.00   0.12   0.06   0.817  8.60    16.2  13.8  11.36
03/30/19 06:31:27 15.00   0.12   0.06   0.842  8.60    16.3  13.9  11.37
03/30/19 06:31:28 15.00   0.12   0.06   0.855  8.60    16.5  13.9  11.37
03/30/19 06:31:29 15.00   0.12   0.06   0.876  8.60    16.7  13.9  11.38
03/30/19 06:31:30 15.00   0.12   0.06   0.899  8.60    16.8  13.8  11.40
03/30/19 06:31:31 15.00   0.12   0.06   0.914  8.60    16.9  13.8  11.42
03/30/19 06:31:32 15.00   0.12   0.06   0.931  8.60    17.0  13.8  11.44
03/30/19 06:31:33 15.00   0.12   0.06   0.955  8.60    17.1  13.8  11.44
03/30/19 06:31:34 15.00   0.12   0.06   0.978  8.60    17.1  13.7  11.45
03/30/19 06:31:35 15.00   0.12   0.06   0.992  8.60    17.0  13.7  11.46
03/30/19 06:31:36 15.00   0.12   0.06   1.013  8.60    17.0  13.7  11.44
03/30/19 06:31:37 15.00   0.12   0.06   1.023  8.60    16.9  13.7  11.44
03/30/19 06:31:38 15.00   0.12   0.06   1.051  8.60    16.8  13.7  11.44
03/30/19 06:31:39 15.00   0.12   0.06   1.069  8.60    16.6  13.6  11.42
03/30/19 06:31:40 15.00   0.12   0.06   1.092  8.60    16.5  13.6  11.42
03/30/19 06:31:41 14.99   0.12   0.06   1.105  8.61    16.4  13.5  11.45
03/30/19 06:31:42 14.99   0.12   0.06   1.129  8.60    16.2  13.5  11.43
03/30/19 06:31:43 14.99   0.12   0.06   1.141  8.60    16.2  13.4  11.41
03/30/19 06:31:44 14.99   0.12   0.06   1.177  8.60    16.1  13.3  11.41
03/30/19 06:31:45 14.99   0.12   0.06   1.182  8.60    16.1  13.2  11.40
03/30/19 06:31:46 14.99   0.12   0.06   1.209  8.60    16.1  13.1  11.42
03/30/19 06:31:47 14.99   0.12   0.06   1.221  8.60    16.1  13.0  11.45
03/30/19 06:31:48 14.99   0.12   0.06   1.239  8.60    16.1  12.9  11.49
03/30/19 06:31:49 14.99   0.12   0.06   1.265  8.60    16.2  12.8  11.47
03/30/19 06:31:50 14.98   0.12   0.06   1.282  8.60    16.2  12.8  11.48
03/30/19 06:31:51 14.98   0.12   0.06   1.312  8.60    16.3  12.7  11.47
03/30/19 06:31:52 14.98   0.12   0.06   1.314  8.60    16.3  12.7  11.45
03/30/19 06:31:53 14.97   0.12   0.06   1.344  8.60    16.3  12.6  11.43
03/30/19 06:31:54 14.97   0.12   0.06   1.356  8.60    16.3  12.6  11.45
03/30/19 06:31:55 14.96   0.12   0.06   1.387  8.60    16.3  12.6  11.44
03/30/19 06:31:56 14.96   0.12   0.06   1.398  8.60    16.3  12.5  11.44
03/30/19 06:31:57 14.96   0.12   0.06   1.413  8.60    16.2  12.4  11.44
03/30/19 06:31:58 14.96   0.12   0.06   1.445  8.60    16.1  12.4  11.45
03/30/19 06:31:59 14.95   0.12   0.06   1.453  8.60    16.0  12.3  11.47
03/30/19 06:32:00 14.95   0.12   0.06   1.486  8.60    15.9  12.2  11.48
03/30/19 06:32:01 14.95   0.12   0.06   1.493  8.60    15.8  12.1  11.50
03/30/19 06:32:02 14.95   0.12   0.06   1.511  8.60    15.7  12.0  11.50
03/30/19 06:32:03 14.95   0.12   0.06   1.537  8.60    15.6  12.0  11.49
03/30/19 06:32:04 14.94   0.12   0.06   1.549  8.60    15.5  11.9  11.47
03/30/19 06:32:05 14.94   0.12   0.06   1.579  8.60    15.5  11.9  11.46
03/30/19 06:32:06 14.94   0.12   0.06   1.593  8.60    15.5  11.9  11.46
03/30/19 06:32:07 14.93   0.12   0.06   1.608  8.60    15.5  12.0  11.47
03/30/19 06:32:08 14.93   0.12   0.06   1.636  8.60    15.5  12.0  11.47
03/30/19 06:32:09 14.93   0.12   0.06   1.647  8.60    15.6  12.1  11.46
03/30/19 06:32:10 14.93   0.12   0.06   1.669  8.60    15.6  12.3  11.45
